pi,i
4.453977137177034,9.69
4.243359841459604,9.83
4.235000157295321,9.87
4.218379230350511,10.12
4.205998912736408,10.47
4.1936910618861845,10.37
4.177392224563725,9.74
4.070329311350385,8.61
3.9637861759038273,8.06
3.4652167705572445,7.76
3.5427352611232976,8.27
3.7200283686090962,8.52
3.5191458336313097,7.95
3.5124635931278014,7.48
3.598873233223543,6.95
3.399760854141931,7.08
3.2975196815550056,7.14
3.19576067686711,7.1
3.1837895097608815,7.16
3.453446308921393,7.24
3.7213596340434307,7.1
3.89659685333843,7.07
3.1484081933283115,7.06
2.1306966312930165,6.56
1.576295966525798,6.06
1.6651633592442039,6.15
1.7520042420163584,6.21
1.6574965094212857,5.83
1.5632502249826707,5.53
1.7423641147254365,5.21
1.5546723738300017,5.18
1.2762251613851916,5.35
1.1802225056627869,5.53
1.355646608360761,5.43
1.8962193439813646,5.59
2.801810024957163,5.59
3.6137626918566923,5.64
3.6039936483197366,5.66
3.6791946933576902,5.67
3.8517972435674785,5.69
4.198919628684994,6.04
4.183965834290859,6.4
4.263523164443583,6.13
4.429422023100393,5.69
4.24091819250938,5.77
4.046286361318074,5.81
3.8601283696812594,5.66
3.7608279917159315,5.7
3.9152456097181876,5.91
3.905051487187272,6.26
3.888178754420757,6.46
4.047043888295576,6.73
4.029692231076432,7.06
4.099634723624046,7.24
4.172593367021804,7.35
4.158426890663414,7.76
4.31721718652085,8.07
4.3851882528849195,8.27
4.542412511425553,8.53
4.776777373173946,8.82
4.911515604749539,8.65
5.142094581422896,8.43
5.040306774489611,8.15
4.939275532957588,7.88
4.518222279323236,7.9
4.339608456376176,7.75
4.485056616535221,7.64
4.549931806966789,7.69
4.5351901252959514,7.63
5.067429096326759,7.64
5.129329438755015,7.74
5.104776506602349,7.9
4.603987675473409,7.77
4.272801845415408,7.74
4.567723146599256,7.73
4.706751085798633,7.62
5.54613029864548,7.45
5.987018949094924,7.36
6.184350528270333,7.17
6.011054305759611,7.06
6.067119518113628,6.74
5.493371881783737,6.22
5.176193455858957,5.94
4.708538667468787,5.91
4.697833502101112,5.65
4.912207765369825,5.46
4.588996205949858,5.57
4.275116695266323,5.58
3.7289928245472836,5.33
3.3398280401848446,5.22
2.808758181026061,4.99
3.020487447166076,4.56
2.93706867959882,4.07
2.6375155254394045,3.8
2.7799888277596274,3.84
3.1400900451190594,4.04
3.1332253360270457,3.75
2.978789075662114,3.63
2.970156760690923,3.66
3.1083095058389354,3.21
3.0283496587252934,3.13
2.9487933030643454,2.91
3.2272431404850366,2.86
3.0727676523496505,3.13
2.923559376223661,3.22
3.2019811234771822,3.0
3.1951599806602005,2.93
2.9747235904729052,2.95
3.107594696052285,2.87
3.1703958587932846,2.96
2.9538012436863603,3.07
2.8072018778686036,3.04
2.8013036227673815,3.02
2.7264883561805675,2.95
2.7150989065950704,3.02
2.7075586605281643,3.1
2.7721802930272155,3.06
2.4214258120593968,2.98
2.4845998586530804,3.25
2.6172292773265937,3.5
2.3368761007829697,3.68
2.2626950929026,4.14
2.4641903936928777,4.14
2.6631823180792935,4.33
2.859282599384283,4.48
2.9223962124570235,4.62
2.5764136936131443,4.95
2.569444937478327,5.29
2.5642430613337375,5.6
2.8303776162851513,5.71
2.82276806248678,5.77
2.749083613804082,5.73
3.0771658666753687,5.65
3.0710023485371885,5.67
2.9972273535792127,5.47
2.7908788117076533,5.42
2.5837806989557066,5.4
2.5133598118493694,5.28
2.707329432853456,5.28
2.570157946143059,5.36
2.500130220541763,5.14
2.7524673390090015,5.0
2.6807751145443426,4.83
2.8042267873855664,4.96
2.7932962559856556,4.95
2.7878628845964037,5.02
2.782450610942888,5.09
2.8425686497951297,5.15
2.7734767060089816,5.05
2.9603191305354493,5.09
3.015948830630233,4.99
3.2012976987813246,5.03
3.322989449890734,4.91
2.99290087770947,5.03
2.987193830171986,5.01
2.727730171288556,5.14
2.4051792318521947,5.16
2.2131791728697614,5.05
2.208988527228417,4.93
2.142489008410653,5.05
2.2642476749759943,5.14
2.1951336103534835,4.95
2.0645087329157263,4.97
1.872713905069734,5.14
1.6828069280650837,5.16
1.6179568876268924,5.04
1.4299280011417004,5.09
1.3673301900209545,5.03
1.4281521841404299,4.95
1.6744577273802186,5.0
1.6099418934181209,4.98
1.730574709759214,4.96
1.6039825681036568,4.9
1.4167160264780598,4.61
1.4751343087072932,3.96
1.4733231512984446,4.41
1.5941477997688303,4.39
1.652930195121094,4.34
1.652930195121094,4.44
1.713628224298791,4.44
2.255505551508641,4.29
2.0694591242833127,4.5
1.9465334788103306,4.57
2.1219347226741903,4.55
2.239125317544577,4.72
2.59598036957982,4.68
2.5302554664786037,4.86
2.586610371218079,5.07
2.6412099539776968,5.2
2.7546651955494994,5.32
3.167279986666749,5.55
3.6930939027288723,5.69
2.969339292514661,5.66
3.0844675351097806,5.79
3.6668803637086356,5.69
3.5360195395884197,5.96
3.296354955128411,6.09
3.398100819314376,6.0
3.3921380945667323,6.11
3.3861962610176377,6.17
3.3783061243644497,5.77
3.6536392061926826,5.15
3.4685557987889304,4.88
2.938845899949971,4.42
3.1675553451145255,3.87
3.5010749372521133,3.62
3.1440143166975965,3.49
2.6851084722846252,3.51
2.6851084722846252,3.36
2.559138806936634,2.64
2.1053409197832273,2.16
1.876654449706816,1.87
1.5909426469977284,1.69
1.1888053959589584,1.65
1.1299555253933669,1.72
1.3536585717533356,1.79
1.6306237038396176,1.71
1.2331994848170602,1.73
1.063542070749346,1.7
1.45497810147317,1.68
1.7323707897457297,1.62
1.504625766246015,1.63
2.006756305080959,1.58
2.2285044789434494,1.23
2.4500111867899577,1.19
2.720123300026245,1.17
3.0975927894305144,1.17
2.9803530390582367,1.13
2.1518071628943147,1.13
1.8764347468486875,1.07
1.9300295812365142,0.92
2.034714133086979,0.9
2.1918685707645658,0.95
2.3504771621375653,0.94
2.0213744784199683,0.92
1.910017137341935,0.93
2.0147700304111282,0.9
2.0060309446674474,0.88
1.6743572361286319,0.93
1.725110166976851,0.94
2.266691756429129,0.94
2.8565671754459565,1.02
3.1185322826999595,1.27
2.8971983443331517,1.33
2.515519313719583,1.48
2.5074666596375472,1.65
3.1410620621107554,1.76
3.5575824973274273,2.07
3.2876768004109103,2.19
2.8051587929216915,2.33
3.007348768392948,2.54
3.156495615442445,2.74
3.306520060862894,2.78
2.8288947691197386,2.84
2.50927959054863,2.97
3.0210630849103026,3.22
3.582007658452291,3.44
4.6328408046646175,3.42
4.258145205596442,3.71
3.2840303652906577,3.88
3.2840303652906577,3.89
3.9401361681989044,4.24
3.5736319296131747,4.43
3.3608050987300686,4.51
3.550068538934159,4.6
3.90021578032691,4.72
4.096653750655843,4.79
4.022664031825407,4.95
3.8514387586324084,4.96
1.992097749455457,4.81
1.3965314248641114,4.92
